FEATURE_NAME,PRIM_LAT_DEC,PRIM_LONG_DEC,ELEV_IN_M
Suicide Mountain,39.5310723,-106.9690078,3002
Red Table Mountain,39.4181405,-106.771035,3665
Adam Mountain,39.5046015,-106.7093635,3392
Porphyry Mountain,39.5360605,-106.6785283,3307
Grouse Mountain,39.5173865,-106.5087177,3904
Lionshead,39.5909122,-106.4136087,3027
Shrine Mountain,39.5350427,-106.2595673,3628
Battle Mountain,39.5635909,-106.3280727,3502
Ptarmigan Point,39.6053071,-106.3697404,3347
Uneva Peak,39.5570533,-106.195996,3820
Buffalo Mountain,39.6167293,-106.1427478,3895
Tenmile Peak,39.5359624,-106.1210577,3943
Peak Three,39.5284791,-106.1199465,3854
Peak Four,39.5216433,-106.1212913,3917
Peak Five,39.5146197,-106.1164414,3918
Swan Mountain,39.5691601,-106.02163,3285
Ophir Mountain,39.5590808,-106.0732794,3103
Royal Mountain,39.5683101,-106.1094979,3199
Peak One,39.5430027,-106.1199036,3902
North Mountain,37.9109474,-108.4027198,3038
Little Cone,37.9275883,-108.0910025,3654
Flat Top Peak,37.881376,-108.1027108,3535
Groundhog Mountain,37.8348683,-108.2173494,3687
Black Mesa,37.7853177,-108.1910286,3539
Dunn Peak,37.8471654,-108.1256414,3836
Dolores Peak,37.8402652,-108.0963662,4051
El Diente Peak,37.8394323,-108.0053368,4310
Taylor Mesa,37.6407834,-108.1522914,3294
Johnny Bull Mountain,37.7195162,-108.0902786,3662
Calico Peak,37.7102665,-108.0901703,3663
Eagle Peak,37.7061907,-108.1018589,3689
Papoose Peak,37.7436845,-108.060511,3615
Elliott Mountain,37.7343143,-108.057968,3760
Sockrider Peak,37.7253915,-108.0660466,3748
Sandstone Mountain,37.7194333,-108.0383953,3187
Telescope Mountain,37.7165201,-108.0060442,3726
Storm Peak,37.6870012,-108.0878205,3686
Anchor Mountain,37.6963777,-108.0808972,3757
Expectation Mountain,37.6941557,-108.0684826,3674
Landslip Mountain,37.6771773,-108.0746154,3550
Dolores Mountain,37.6833228,-108.0058943,3690
Orphan Butte,37.5712035,-108.0213225,3396
Corral Peaks,40.19634,-106.1581906,3430
Sheep Mountain,40.6815922,-105.9339552,3600
North Rawah Peak,40.676247,-105.9668191,3802
South Rawah Peak,40.6591238,-105.9557293,3858
Crown Point,40.6292884,-105.6844359,3489
Diamond Peaks,40.5215932,-105.9109438,3615
Clark Peak,40.6066574,-105.9299169,3948
Flat Top Mountain,40.5319048,-105.8257245,3456
Iron Mountain,40.5068229,-105.8522458,3736
Bald Mountain,40.5587186,-105.8369871,3306
Fall Mountain,40.5284082,-105.661446,3730
Comanche Peak,40.5481465,-105.6768315,3869
Skull Point,40.5137835,-105.6312326,3676
Ramsey Peak,40.5251558,-105.6140942,3528
Stormy Peaks,40.5197481,-105.5867196,3691
Sugarloaf Mountain,40.5166432,-105.6172133,3701
South Signal Mountain,40.5185385,-105.5180829,3425
East White Pine Mountain,40.6049096,-105.4465022,3123
West White Pine Mountain,40.6052533,-105.47165,3141
Crystal Mountain,40.5390776,-105.4324398,3033
Lookout Mountain,40.5343228,-105.4597062,3240
Farview Mountain,40.3778206,-105.9472695,3734
Parika Peak,40.385059,-105.9466495,3772
Mount Cindy,40.4182776,-105.9403246,3673
Bearpaws Peaks,40.4244731,-105.9706678,3568
Seven Utes Mountain,40.4785218,-105.9343404,3493
Static Peak,40.476578,-105.8917338,3833
Mount Richthofen,40.46947,-105.8943163,3932
Tepee Mountain,40.4634732,-105.8983352,3772
Lead Mountain,40.4486043,-105.8970537,3820
Mount Cirrus,40.4346827,-105.9019049,3892
Howard Mountain,40.4270521,-105.8988921,3903
Mount Cumulus,40.4103366,-105.9022687,3881
Red Mountain,40.3992748,-105.8790191,3540
Mount Stratus,40.3902062,-105.903529,3816
Mount Nimbus,40.3967585,-105.9040416,3867
Green Knoll,40.3861212,-105.8967977,3743
Shipler Mountain,40.4275913,-105.8373158,3454
Lulu Mountain,40.4801235,-105.8625004,3724
Jackstraw Mountain,40.387445,-105.8122222,3564
Sheep Rock,40.4158353,-105.8136003,3329
Thunder Mountain,40.486202,-105.8548951,3672
Mount Dickinson,40.4873625,-105.5657152,3602
Mount Dunraven,40.4890456,-105.6080035,3830
Mount Tileston,40.4472484,-105.6203767,3428
Dark Mountain,40.4326566,-105.5736509,3308
MacGregor Mountain,40.4135882,-105.5769346,3194
Sundance Mountain,40.4083108,-105.7105512,3794
Mount Chapin,40.4335592,-105.7018123,3794
Marmot Point,40.4422161,-105.7366632,3626
Mount Chiquita,40.4437682,-105.6891195,3977
Ypsilon Mountain,40.4571828,-105.6812555,4114
Fairchild Mountain,40.4685062,-105.6643317,4116
Desolation Peaks,40.472232,-105.6915459,3937
Flatiron Mountain,40.4844218,-105.7111076,3759
Hagues Peak,40.484691,-105.6457914,4128
Rowe Mountain,40.4966435,-105.6483259,4013
Storm Mountain,40.4855159,-105.3855573,3014
Mineral Point,40.3601901,-105.9045544,3502
Bowen Mountain,40.3604515,-105.9334242,3819
Ruby Mountain,40.3548305,-105.955583,3662
Cascade Mountain,40.3372947,-105.9600288,3753
Gravel Mountain,40.2754042,-105.9958233,3586
Porphyry Peaks,40.2865514,-105.9390777,3451
Nakai Peak,40.3434885,-105.7758546,3725
